period,transaction_count,transaction_amount_usd
2025-03-03 00:00:00+00:00,57,11510.82
2025-03-10 00:00:00+00:00,138,33454.98
2025-03-17 00:00:00+00:00,113,27498.66
2025-03-24 00:00:00+00:00,119,31879.73
2025-03-31 00:00:00+00:00,144,26207.68
2025-04-07 00:00:00+00:00,115,21452.08
2025-04-14 00:00:00+00:00,108,21165.99
2025-04-21 00:00:00+00:00,128,25491.95
2025-04-28 00:00:00+00:00,138,31435.77
2025-05-05 00:00:00+00:00,146,34085.5
2025-05-12 00:00:00+00:00,130,36830.23
2025-05-19 00:00:00+00:00,129,25870.51
2025-05-26 00:00:00+00:00,125,30671.43
2025-06-02 00:00:00+00:00,143,28780.59
2025-06-09 00:00:00+00:00,135,28865.05
2025-06-16 00:00:00+00:00,144,23908.51
2025-06-23 00:00:00+00:00,140,28352.06
2025-06-30 00:00:00+00:00,135,24628.63
2025-07-07 00:00:00+00:00,132,25723.97
2025-07-14 00:00:00+00:00,114,20144.55
2025-07-21 00:00:00+00:00,141,24235.08
2025-07-28 00:00:00+00:00,124,24367.83
2025-08-04 00:00:00+00:00,125,26013.19
2025-08-11 00:00:00+00:00,110,30096.43
2025-08-18 00:00:00+00:00,128,24485.99
2025-08-25 00:00:00+00:00,125,25918.18
2025-09-01 00:00:00+00:00,137,27854.66
2025-09-08 00:00:00+00:00,147,30563.75
2025-09-15 00:00:00+00:00,122,26274.3
2025-09-22 00:00:00+00:00,146,26583.67
2025-09-29 00:00:00+00:00,123,26373.39
2025-10-06 00:00:00+00:00,140,29470.51
2025-10-13 00:00:00+00:00,112,18811.82
2025-10-20 00:00:00+00:00,131,25475.57
2025-10-27 00:00:00+00:00,133,23931.65
2025-11-03 00:00:00+00:00,132,25577.77
2025-11-10 00:00:00+00:00,143,28793.01
2025-11-17 00:00:00+00:00,130,24184.02
2025-11-24 00:00:00+00:00,128,27268.1
2025-12-01 00:00:00+00:00,142,27747.28
2025-12-08 00:00:00+00:00,135,26564.82
2025-12-15 00:00:00+00:00,132,24165.32
2025-12-22 00:00:00+00:00,116,17091.96
2025-12-29 00:00:00+00:00,111,26694.06
2026-01-05 00:00:00+00:00,136,25165.35
2026-01-12 00:00:00+00:00,151,30084.03
2026-01-19 00:00:00+00:00,128,22097.12
2026-01-26 00:00:00+00:00,158,31392.41
2026-02-02 00:00:00+00:00,111,28814.45
2026-02-09 00:00:00+00:00,134,31541.43
2026-02-16 00:00:00+00:00,112,19795.85
2026-02-23 00:00:00+00:00,147,30791.54
2026-03-02 00:00:00+00:00,124,20090.67
2026-03-09 00:00:00+00:00,128,21403.52
2026-03-16 00:00:00+00:00,123,26799.78
2026-03-23 00:00:00+00:00,122,26829.86
2026-03-30 00:00:00+00:00,128,23545.8
2026-04-06 00:00:00+00:00,128,24473.87
2026-04-13 00:00:00+00:00,114,26310.26
2026-04-20 00:00:00+00:00,142,27270.75
2026-04-27 00:00:00+00:00,123,22194.18
2026-05-04 00:00:00+00:00,123,25628.64
2026-05-11 00:00:00+00:00,143,28731.16
2026-05-18 00:00:00+00:00,118,24714.39
2026-05-25 00:00:00+00:00,122,23458.78
2026-06-01 00:00:00+00:00,121,25267.16
2026-06-08 00:00:00+00:00,123,20357.72
2026-06-15 00:00:00+00:00,115,25835.8
2026-06-22 00:00:00+00:00,139,30474.37
2026-06-29 00:00:00+00:00,131,26866.33
2026-07-06 00:00:00+00:00,109,19157.88
2026-07-13 00:00:00+00:00,144,21471.49
2026-07-20 00:00:00+00:00,146,29198.4
2026-07-27 00:00:00+00:00,127,25401.91
2026-08-03 00:00:00+00:00,138,32070.85
2026-08-10 00:00:00+00:00,129,23860.0
2026-08-17 00:00:00+00:00,138,26202.31
2026-08-24 00:00:00+00:00,79,15810.21
