user_id,country,account_age_days,transaction_count,historical_amount,registration_date,remittance_id,remittance_number,origin_country,destination_country,source_currency,destination_currency,source_amount,commission_rate,commission_amount,total_debit_amount,exchange_rate,destination_amount,delivery_method,funding_method,status,created_at,beneficiary_id,completed_at,relationship,linked_user,transactions_last_24h,transactions_last_7d,transactions_last_30d,avg_transaction_amount,max_transaction_amount,new_beneficiary,beneficiary_age_days,countries_used_last_30d,failed_transactions,transaction_hour,weekend_transaction,amount_vs_user_average,transaction_velocity_24h,transaction_velocity_7d,new_beneficiary_flag,unusual_hour_flag,weekend_flag,new_corridor_flag,country_diversity_30d,failed_transaction_ratio,historical_avg_amount,historical_max_amount,rule_score,ml_probability,anomaly_score,final_risk_score,fraud_label,amount_bucket,risk_band_experimental,is_cross_border
USR-000897,Guatemala,234,0,0.00,2025-06-10,REM-42-0000001,FID-2026-000001,Guatemala,Espana,GTQ,EUR,73.56,0.023732,1.75,75.31,0.117619,8.65,BANK_DEPOSIT,DIGITAL_WALLET,AVAILABLE,2026-01-30T03:55:52+00:00,BEN-002266,,Padre / Madre,1,0,0,0,73.56,73.56,0,175,0,0,3,0,1.00,0,0,0,1,0,1,0,0.000000,73.56,73.56,15.41,0.160071,0.208535,17.32,0,0-99,BAJO,1
USR-001116,Estados Unidos,295,0,0.00,2025-03-23,REM-42-0000002,FID-2026-000002,Estados Unidos,Espana,USD,EUR,36.77,0.022247,0.82,37.59,0.917431,33.73,BANK_DEPOSIT,DIGITAL_WALLET,COMPLETED,2026-01-12T09:29:30+00:00,BEN-002838,2026-01-12T09:36:30+00:00,Padre / Madre,1,0,0,0,36.77,36.77,1,0,0,0,9,0,1.00,0,0,1,0,0,1,0,0.000000,36.77,36.77,21.67,0.204786,0.453543,29.96,0,0-99,BAJO,1
USR-000771,Guatemala,-153,0,0.00,2025-10-10,REM-42-0000003,FID-2026-000003,Guatemala,Mexico,GTQ,MXN,199.77,0.035859,7.16,206.93,2.331000,465.66,WALLET,DEBIT_CARD,COMPLETED,2025-05-10T10:11:14+00:00,BEN-001957,2025-05-10T17:54:14+00:00,Socio comercial,0,0,0,0,199.77,199.77,1,0,0,0,10,1,1.00,0,0,1,0,1,1,0,0.000000,199.77,199.77,25.50,0.232143,0.443344,32.09,0,100-499,MEDIO,1
USR-000215,Espana,-184,0,0.00,2026-03-30,REM-42-0000004,FID-2026-000004,Espana,Mexico,EUR,MXN,385.29,0.035671,13.74,399.03,19.818182,7635.75,BANK_DEPOSIT,DEBIT_CARD,REVIEW_REQUIRED,2025-09-27T10:46:04+00:00,BEN-000563,,Amigo / Amiga,0,0,0,0,385.29,385.29,0,150,0,1,10,1,1.00,0,0,0,0,1,1,0,0.000000,385.29,385.29,10.94,0.128143,0.289920,17.26,0,100-499,BAJO,1
USR-001095,Estados Unidos,-3,0,0.00,2025-10-03,REM-42-0000005,FID-2026-000005,Estados Unidos,Canada,USD,CAD,272.78,0.020850,5.69,278.47,1.351351,368.62,BANK_DEPOSIT,DEBIT_CARD,COMPLETED,2025-09-30T17:38:34+00:00,BEN-002776,2025-10-01T05:31:34+00:00,Hijo / Hija,0,0,0,0,272.78,272.78,0,34,0,0,17,0,1.00,0,0,0,0,0,1,0,0.000000,272.78,272.78,21.49,0.203500,0.192309,20.70,0,100-499,BAJO,1
USR-000471,Guatemala,-15,0,0.00,2026-06-28,REM-42-0000006,FID-2026-000006,Guatemala,Estados Unidos,GTQ,USD,136.70,0.033230,4.54,141.24,0.128205,17.53,BANK_DEPOSIT,DIGITAL_WALLET,COMPLETED,2026-06-13T12:32:18+00:00,BEN-001217,2026-06-13T18:32:18+00:00,Hijo / Hija,1,0,0,0,136.70,136.70,0,264,0,0,12,1,1.00,0,0,0,0,1,1,0,0.000000,136.70,136.70,17.54,0.175286,0.339906,23.30,0,100-499,BAJO,1
USR-000926,Guatemala,-257,0,0.00,2025-12-15,REM-42-0000007,FID-2026-000007,Guatemala,Canada,GTQ,CAD,125.59,0.026056,3.27,128.86,0.173250,21.76,TRANSFER,BANK_TRANSFER,REVIEW_REQUIRED,2025-04-02T15:05:22+00:00,BEN-002340,,Amigo / Amiga,1,0,0,0,125.59,125.59,1,0,0,1,15,0,1.00,0,0,1,0,0,1,0,0.000000,125.59,125.59,22.69,0.212071,0.377828,27.97,0,100-499,BAJO,1
USR-000926,Guatemala,11,1,125.59,2025-12-15,REM-42-0000008,FID-2026-000008,Guatemala,Estados Unidos,GTQ,USD,227.61,0.026864,6.11,233.72,0.128205,29.18,CASH_PICKUP,DEBIT_CARD,COMPLETED,2025-12-26T01:46:40+00:00,BEN-002339,2025-12-26T10:20:40+00:00,Conyuge,0,0,0,0,125.59,125.59,1,0,0,1,1,0,1.81,0,0,1,1,0,1,0,1.000000,125.59,125.59,29.59,0.261357,0.546542,38.36,0,100-499,MEDIO,1
USR-000316,Guatemala,-35,0,0.00,2025-12-14,REM-42-0000009,FID-2026-000009,Guatemala,Estados Unidos,GTQ,USD,333.50,0.027439,9.15,342.65,0.128205,42.76,TRANSFER,DIGITAL_WALLET,COMPLETED,2025-11-09T11:31:47+00:00,BEN-000823,2025-11-09T12:29:47+00:00,Hermano / Hermana,0,0,0,0,333.50,333.50,0,170,0,0,11,1,1.00,0,0,0,0,1,1,0,0.000000,333.50,333.50,14.58,0.154143,0.186683,16.01,0,100-499,BAJO,1
USR-000552,Guatemala,338,0,0.00,2025-08-30,REM-42-0000010,FID-2026-000010,Guatemala,Estados Unidos,GTQ,USD,411.43,0.028245,11.62,423.05,0.128205,52.75,TRANSFER,DEBIT_CARD,COMPLETED,2026-08-03T05:48:24+00:00,BEN-001419,2026-08-03T11:43:24+00:00,Padre / Madre,0,0,0,0,411.43,411.43,0,119,0,0,5,0,1.00,0,0,0,1,0,1,0,0.000000,411.43,411.43,15.43,0.160214,0.172272,16.06,0,100-499,BAJO,1
